"Name", "NativeName", "QualityOfLifeIndex"
"Canada", "Canada", 159.5119022153429
"Japan", "日本", 165.3269052469134
"Norway", "Kongeriket Norge", 173.15816615019932
"Ireland", "Eire", 153.1821907165866
"Hungary", "Magyarorszag", 135.34393690734532
"Spain", "Espana", 165.09113821234442
"United States of America", "United States of America", 165.0277910455876
"Belgium", "Koninkrijk Belgie", 149.56071572878
"Luxembourg", "Letzebuerg", 172.1529819485642
"Finland", "Suomi", 180.80927544062834
"Sweden", "Sverige", 171.98873234335218
"Poland", "Rzeczpospolita Polska", 120.62856955535759
"Lithuania", "Lietuva", 160.1159206988948
"Italy", "Repubblica Italiana", 139.30945144224083
"Switzerland", "Schweizerische Eidgenossenschaft", 190.1646316942079
"Austria", "Republik Osterreich", 177.06807385042038
"Greece", "Ελλάδα", 127.85320058697444
"Turkey", "Turkiye Cumhuriyeti", 124.57209044378408
"Portugal", "Republica Portuguesa", 160.4971268954174
"Uruguay", "Uruguay", 122.95632887203976
"Egypt", "جُمهورِيّةُ مِصرَ العَرَبيّةِ", 88.6071806404276
"Mexico", "México", 123.5528198849139
"Kenya", "Jamhuri ya Kenya", 86.67243252405407
"Ethiopia", "ኢትዮጵያ", 69.07476859969273
"Ghana", "Ghana", 14.668200081980547
"France", "Republique francaise", 155.7138765330516
"United Kingdom", "United Kingdom of Great Britain and Northern Ireland", 159.22895686639382
"People's Republic of China", "中华人民共和国", 104.92398804921848
"Brazil", "Republica Federativa do Brasil", 105.93254904094704
"Russia", "Россия", 100.57080054937619
"Germany", "Bundesrepublik Deutschland", 177.56755588416382
"Belarus", "Рэспубліка Беларусь", 107.8684902145164
"Iceland", "Island", 179.5003190034392
"Estonia", "Eesti Vabariik", 172.30772408100546
"Latvia", "Latvija", 148.36501864743823
"Ukraine", "Україна", 108.98436308517171
"Czech Republic", "Ceska republika", 159.46776766843405
"Slovakia", "Slovenska republika", 148.9316403841145
"Slovenia", "Slovenija", 167.8182556870326
"Moldova", "Republica Moldova", 113.80707776568327
"Romania", "Romania", 132.1925553483137
"Bulgaria", "България", 128.2140686494007
"North Macedonia", "Република Северна Македонија", 108.8021087081641
"Albania", "Republika e Shqiperise", 97.76984816830046
"Croatia", "Republika Hrvatska", 155.46828523564574
"Bosnia and Herzegovina", "Bosna i Hercegovina", 126.78449099232526
"Azerbaijan", "Azərbaycan Respublikası", 101.4563516454551
"Cyprus", "Κυπριακή Δημοκρατία", 147.16182296205224
"Georgia", "საქართველო", 116.89439340872015
"Kazakhstan", "Қазақстан Республикасы", 94.88497191635
"Malta", "Malta", 108.77846167160749
"Montenegro", "Црна Гора / Crna Gora", 132.87166122752166
"Cuba", "Republica de Cuba", 87.44784810867613
"Indonesia", "Republik Indonesia", 89.90425855485447
"South Africa", "Suid-Afrika", 133.39198978420671
"Algeria", "الجمهورية الجزائرية الديمقراطية الشعبية", 97.8013216185719
"Uzbekistan", "Oʻzbekiston", 118.318348813377
"Chile", "República de Chile", 99.12947591822177
"Singapore", "Republic of Singapore", 148.89933433013644
"Bahrain", "البحرين", 132.0636862914352
"Armenia", "Հայաստան", 115.59578622742313
"Serbia", "Србија", 117.75036774535728
"Australia", "Australia", 180.53043163242057
"Argentina", "Argentina", 104.3137394900969
"Peru", "Republica del Peru", 82.60683322686026
"Cambodia", "កម្ពុជា", 57.877182666978115
"New Zealand", "Aotearoa", 175.21333529733698
"India", "Republic of India", 104.92729736444522
"Mongolia", "Монгол Улс", 58.62688379940036
"Fiji", "Republic of Fiji", 102.22370281202697
"Venezuela", "Venezuela", 75.47441014384074
"Suriname", "Republiek Suriname", 104.32415480249144
"Paraguay", "Republica del Paraguay", 104.74345519199672
"Ecuador", "Republica del Ecuador", 116.55997077175341
"Colombia", "Colombia", 103.18566419698661
"Bolivia", "Estado Plurinacional de Bolivia", 93.77113688311393
"Trinidad and Tobago", "Trinidad and Tobago", 90.40292862331813
"Jamaica", "Jamaica", 62.573095751930964
"Guatemala", "Guatemala", 99.18330638267014
"The Bahamas", "Commonwealth of the Bahamas", 117.01688967947523
"Dominican Republic", "República Dominicana", 82.50962316531785
"El Salvador", "El Salvador", 79.77813893932594
"Iran", "ایران", 64.66626335400582
"Iraq", "العراق", 94.54016303092884
"Costa Rica", "Republica de Costa Rica", 121.13873907941365
"Israel", "יִשְרָאֵל", 144.7432665507357
"Panama", "Panama", 111.75591845162224
"Jordan", "الأردن", 113.09982294447309
"Kuwait", "الكويت", 114.87638439670343
"Lebanon", "الجمهورية اللبنانية", 99.54495689146097
"Maldives", "ދިވެހިރާއްޖޭގެ ޖުމުހޫރިއްޔާ", 85.25854119799678
"Malaysia", "Malaysia", 116.34527835211927
"Nepal", "नेपाल", 94.64074320147725
"Oman", "سلطنة عُمان", 170.6934525436248
"Pakistan", "پاکستان", 102.72516805424128
"Qatar", "قطر", 151.73741755919747
"Saudi Arabia", "المملكة العربية السعودية", 146.82037555610344
"Sri Lanka", "ශ්‍රී ලංකා ප්‍රජාතාන්ත්‍රික සමාජවාදී ජනරජය", 71.9450665759703
"Syria", "الجمهورية العربية السورية", 26.10035584610169
"Taiwan", "中華民國", 140.56212626923775
"Thailand", "ประเทศไทย", 100.39510961205949
"United Arab Emirates", "الإمارات العربية المتحدة", 158.477062387552
"Vietnam", "Việt Nam", 89.56495260553969
"South Korea", "대한민국", 124.25376412362618
"Bangladesh", "গণপ্রজাতন্ত্রী বাংলাদেশ", 65.60726703207177
"Tanzania", "Jamhuri ya Muungano wa Tanzania", 71.71167040396632
"Philippines", "Republika ng Pilipinas", 78.99703151771224
"Tunisia", "تونس", 113.92524374043083
"Zimbabwe", "Zimbabwe", 86.08825223644132
"Botswana", "Botswana", 96.87554213051732
"Cote d'Ivoire", "Republique de Cote d'Ivoire", 24.34180110229114
"Morocco", "المغرب", 106.06582865969368
"Nigeria", "Nijeriya", 53.08991126223394
"Kingdom of the Netherlands", "Koninkrijk der Nederlanden", 182.53590191323383
"Danish Realm", "Kongeriget Danmark", 188.63566698727936
